Barrio,Pob,Masc,E_media,Porc_men18,Porc_may18,Envej,Ind_dep,Porc_nacionalidad_extra,Porc_nacidos_ciudad,Porc_fueraCV,Porc_nacida_extranj,Porc_nacida_fuera_UE,Porc_18añosprimaria_menos,Porc_25anos_bach_mas,Rentamedia_ud_consumo,Rentamedia_hogar,Gini_renta,Porc_ingresos_salarios,Porc_ingresos_pensiones_prestaciones,Porc_otros_ingresos,Porc_ingresos_ud_consumo_debajo_60,Porc_ingresos_ud_consumo_debajo_10k,Ind_equipamiento,ind_demografico,Ind_socioecon,Ind_vulnerabilidad,Porc_parados,Muni_electorado,Muni_votos_leidos,Muni_porc_abstención,Muni_nulos,Muni_blanco,Muni_votos_candidaturas,Muni_PP,Muni_Compromis,Muni_PSOE,Muni_VOX,Muni_Podemos,Muni_Cs,Muni_Otros,Auto_electorado,Auto_votos_leidos,Auto_porc_abstención,Auto_nulo,Auto_blanco,Auto_votos_candiaturas,Auto_PP,Auro_PSOE,Auro_Compromís,Auto_VOX,Auto_Podemos,Auto_Cs,Auto_Otros,Gene_electorado,Gene_votos_leidos,Gene_porc_abs,Gene_nulos,Gene_validos,Gene_blanco,Gene_votos_candidaturas,Gene_PP,Gene_PSOE,Gene_Compromis,Gene_VOX,Gene_Otros
1.1. la Seu,3151,"92,49","44,64","12,95","19,61","176,57","30,72","26,09","44,56","11,68","30,53","21,90","5,54","80,28",31270,47049,"35,6","52,0","19,0","29,0","14,6","13,3","3,06","3,49","4,18","3,58","6,70","2082,00","1545,00","0,30","14,00","21,00","1510,00","635,00","394,00","209,00","181,00","29,00","36,00","26,00","1453,00","1072,00","26,20%","8,00","11,00","1053,00","422,00","222,00","160,00","136,00","83,00","16,00","14,00","2042,00","1629,00","20,20%","6,00","1623,00","14,00","1609,00","661,00","323,00","367,00","241,00","17,00"
1.2. la Xerea,4002,"87,62","46,18","14,34","23,69","189,60","36,18","17,49","53,30","13,07","21,29","15,32","6,74","82,33",42842,64551,"40,4","40,8","25,0","34,1","11,6","10,2","3,00","2,98","4,40","3,46","6,08","2874,00","2314,00","0,20","15,00","16,00","2283,00","1327,00","291,00","159,00","395,00","27,00","61,00","23,00","2838,00","2292,00","19,20%","9,00","18,00","2265,00","1280,00","246,00","165,00","448,00","69,00","41,00","16,00","2843,00","2351,00","17,30%","10,00","2341,00","21,00","2320,00","1284,00","303,00","225,00","494,00","14,00"
1.3. el Carme,6896,"97,88","44,55","12,88","18,79","165,73","30,13","24,56","47,22","11,19","29,35","21,26","10,59","69,97",23660,35778,"32,9","59,7","22,9","17,4","19,3","17,1","3,59","3,49","3,56","3,55","7,25","4602,00","3358,00","0,30","17,00","30,00","3311,00","928,00","1213,00","544,00","335,00","153,00","64,00","74,00","4512,00","3315,00","26,50%","14,00","28,00","3273,00","897,00","742,00","818,00","353,00","333,00","47,00","83,00","4515,00","3458,00","23,40%","17,00","3441,00","25,00","3416,00","954,00","970,00","1092,00","357,00","43,00"
1.4. el Pilar,4921,"87,47","42,91","14,20","16,60","131,77","29,20","27,47","43,18","12,72","32,07","25,36","10,11","71,01",23805,35095,"33,6","59,7","22,8","17,6","19,1","17,2","3,47","3,30","3,61","3,46","7,67","3117,00","2283,00","0,30","16,00","18,00","2249,00","706,00","774,00","313,00","292,00","86,00","39,00","39,00","3068,00","2264,00","26,20%","13,00","16,00","2235,00","677,00","469,00","483,00","316,00","212,00","31,00","47,00","3059,00","2337,00","23,60%","11,00","2326,00","18,00","2308,00","730,00","607,00","623,00","322,00","26,00"
1.5. el Mercat,3936,"98,49","43,03","12,86","17,35","152,46","28,73","27,24","44,39","10,01","32,39","22,92","5,69","78,03",27701,41350,"37,1","52,5","20,8","26,7","19,0","17,5","3,16","3,53","4,07","3,59","5,83","2509,00","1910,00","0,20","9,00","19,00","1882,00","710,00","530,00","239,00","260,00","68,00","37,00","38,00","1212,00","939,00","22,50%","4,00","6,00","929,00","332,00","158,00","173,00","149,00","85,00","19,00","13,00","2457,00","1948,00","20,70%","17,00","1931,00","9,00","1922,00","714,00","417,00","465,00","305,00","21,00"
1.6. Sant Francesc,5857,"84,76","46,11","13,66","24,94","213,91","36,61","19,26","52,62","10,38","23,20","18,39","5,00","82,53",38157,59636,"37,5","39,3","30,5","30,1","12,8","11,6","2,94","2,89","4,56","3,46","4,80","4099,00","3309,00","0,20","18,00","35,00","3256,00","1889,00","358,00","255,00","632,00","46,00","56,00","20,00","4058,00","3289,00","19,00%","13,00","45,00","3231,00","1822,00","330,00","247,00","689,00","94,00","29,00","20,00","4068,00","3383,00","16,80%","10,00","3373,00","23,00","3350,00","1838,00","420,00","291,00","783,00","18,00"
2.1. Russafa,24432,"86,45","44,91","15,00","20,68","157,53","33,80","16,52","53,56","12,26","21,76","16,58","7,49","75,29",26163,40701,"32,3","57,5","23,7","18,8","15,8","13,8","2,96","2,87","3,84","3,22","7,23","17593,00","12877,00","0,20","93,00","129,00","12655,00","5061,00","3707,00","1722,00","1297,00","345,00","302,00","221,00","17329,00","13397,00","22,70%","88,00","155,00","13154,00","5190,00","2615,00","2485,00","1419,00","936,00","268,00","241,00","18090,00","13842,00","23,50%","117,00","13725,00","99,00","13626,00","5371,00","3322,00","3134,00","1638,00","161,00"
2.2. el Pla del Remei,7094,"83,21","46,54","16,69","26,43","182,04","40,95","9,42","62,55","12,17","12,46","9,73","4,53","86,89",51977,83707,"41,9","45,3","19,0","35,6","6,1","5,2","3,04","2,78","4,74","3,52","3,78","5444,00","4655,00","0,10","18,00","19,00","4618,00","3125,00","297,00","245,00","791,00","21,00","104,00","35,00","5400,00","4631,00","14,20%","14,00","27,00","4590,00","3015,00","355,00","177,00","892,00","52,00","64,00","35,00","5409,00","4753,00","12,10%","8,00","4745,00","17,00","4728,00","3059,00","402,00","216,00","1029,00","22,00"
2.3. Gran Via,12039,"84,36","46,08","16,94","24,80","171,22","39,29","10,91","62,65","11,70","14,12","10,79","4,57","85,68",36348,59681,"34,1","47,1","21,4","31,4","9,4","8,3","3,06","2,62","4,50","3,39","5,01","9047,00","7434,00","0,20","24,00","54,00","7356,00","4182,00","992,00","705,00","1142,00","69,00","177,00","89,00","8939,00","7376,00","17,50%","28,00","76,00","7272,00","4006,00","980,00","630,00","1230,00","205,00","146,00","75,00","8936,00","7551,00","15,50%","33,00","7518,00","57,00","7461,00","4196,00","1163,00","707,00","1329,00","66,00"
3.1. el Botanic,6639,"91,71","44,91","14,46","20,23","160,26","32,85","18,62","51,45","11,76","24,07","18,32","7,64","73,97",25851,40326,"32,8","56,6","25,1","18,4","17,1","15,0","3,52","3,07","3,85","3,48","8,33","4675,00","3521,00","0,20","12,00","49,00","3460,00","1318,00","1071,00","435,00","383,00","100,00","79,00","74,00","4610,00","3485,00","24,40%","11,00","46,00","3428,00","1292,00","673,00","677,00","409,00","241,00","61,00","75,00","4628,00","3632,00","21,50%","29,00","3603,00","25,00","3578,00","1367,00","850,00","889,00","438,00","34,00"
3.2. la Roqueta,4726,"90,33","44,96","13,10","20,55","181,50","31,87","26,75","43,06","11,26","32,59","27,63","9,06","71,00",25322,38848,"37,1","54,2","24,0","21,8","21,2","18,9","2,96","3,12","3,91","3,33","6,65","3089,00","2292,00","0,30","13,00","20,00","2259,00","994,00","536,00","305,00","289,00","37,00","52,00","46,00","2520,00","1879,00","25,40%","7,00","14,00","1858,00","826,00","333,00","285,00","266,00","86,00","41,00","21,00","3087,00","2393,00","22,50%","20,00","2373,00","11,00","2362,00","996,00","561,00","440,00","337,00","28,00"
3.3. la Petxina,15095,"83,64","45,64","15,97","23,08","165,12","37,06","11,86","58,80","12,39","17,31","14,18","6,98","73,70",26339,42972,"31,1","57,0","27,1","15,9","14,0","12,2","3,55","2,66","3,78","3,33","7,60","11312,00","8821,00","0,20","42,00","82,00","8697,00","3659,00","2169,00","1226,00","1050,00","211,00","234,00","148,00","11203,00","8764,00","21,80%","44,00","72,00","8648,00","3552,00","1726,00","1406,00","1127,00","479,00","199,00","159,00","11176,00","9070,00","18,80%","48,00","9022,00","81,00","8941,00","3727,00","2172,00","1750,00","1208,00","84,00"
3.4. Arrancapins,22875,"83,10","46,37","14,74","24,91","193,88","37,76","12,63","56,63","12,66","17,58","14,55","6,60","74,75",28049,45335,"32,0","52,5","27,4","20,0","13,7","11,9","3,36","2,69","3,90","3,32","7,32","17204,00","13575,00","0,20","75,00","101,00","13399,00","6306,00","2953,00","1718,00","1594,00","209,00","369,00","250,00","17058,00","13476,00","21,00%","90,00","89,00","13297,00","6112,00","2485,00","1860,00","1768,00","524,00","316,00","232,00","17079,00","13996,00","18,10%","100,00","13896,00","120,00","13776,00","6430,00","3066,00","2179,00","1975,00","126,00"
4.1. Campanar,11595,"84,96","47,91","14,63","29,44","229,99","42,23","11,53","53,20","17,49","16,71","14,03","11,13","62,42",24664,41415,"28,8","50,5","37,3","12,2","13,8","11,9","2,88","3,05","3,49","3,14","8,65","8890,00","6934,00","0,20","39,00","55,00","6840,00","2567,00","1760,00","1266,00","806,00","141,00","181,00","119,00","8842,00","6905,00","21,90%","41,00","58,00","6806,00","2493,00","1678,00","1218,00","852,00","288,00","156,00","121,00","8820,00","7096,00","19,50%","60,00","7036,00","50,00","6986,00","2656,00","2049,00","1277,00","932,00","72,00"
